player,team,minutes,raw_total,per90
Daley Blind,Netherlands,1.7,1.0,54.00
Mirlind Daku,Albania,10.3,1.0,8.78
Ivan Toney,England,23.2,2.0,7.75
Kevin Csoboth,Hungary,13.9,1.0,6.47
Michał Skóraś,Poland,17.8,1.0,5.07
Micky van de Ven,Netherlands,73.0,3.0,3.70
Oleksandr Zubkov,Ukraine,24.8,1.0,3.63
Veljko Birmančević,Serbia,25.6,1.0,3.52
Maximilian Beier,Germany,25.9,1.0,3.48
Zsolt Nagy,Hungary,25.9,1.0,3.48
Eberechi Eze,England,78.6,3.0,3.43
Alejandro Grimaldo García,Spain,100.5,3.0,2.69
Cole Palmer,England,135.0,4.0,2.67
Cenk Tosun,Turkey,36.2,1.0,2.49
Pedro González López,Spain,189.3,5.0,2.38
Vincent Sierro,Switzerland,38.3,1.0,2.35
Nico Schlotterbeck,Germany,117.6,3.0,2.30
Florinel Teodor Coman,Romania,119.6,3.0,2.26
Leroy Sané,Germany,207.9,5.0,2.16
Niclas Füllkrug,Germany,166.5,4.0,2.16
José Ignacio Fernández Iglesias,Spain,265.0,6.0,2.04
Diogo José Teixeira da Silva,Portugal,88.9,2.0,2.02
Wout Weghorst,Netherlands,133.5,3.0,2.02
Patrick Wimmer,Austria,135.2,3.0,2.00
José Luis Sanmartín Mato,Spain,93.9,2.0,1.92
Pascal Groß,Germany,47.5,1.0,1.89
Jesús Navas González,Spain,143.1,3.0,1.89
Arbër Hoxha,Albania,47.9,1.0,1.88
Nicholas Williams Arthuer,Spain,488.2,10.0,1.84
Lamine Yamal Nasraoui Ebana,Spain,495.7,10.0,1.82
Leonidas Stergiou,Switzerland,49.7,1.0,1.81
Alexander Prass,Austria,155.6,3.0,1.74
Ollie Watkins,England,55.0,1.0,1.64
Fabian Rieder,Switzerland,221.5,4.0,1.63
Álvaro Borja Morata Martín,Spain,445.6,8.0,1.62
Unai Simón Mendibil,Spain,568.9,10.0,1.58
Georginio Wijnaldum,Netherlands,57.4,1.0,1.57
Rodrigo Hernández Cascante,Spain,524.6,9.0,1.54
Lazar Samardžić,Serbia,58.7,1.0,1.53
Daniel Carvajal Ramos,Spain,473.5,8.0,1.52
Otar Kiteishvili,Georgia,121.7,2.0,1.48
Robin Aime Robert Le Normand,Spain,427.9,7.0,1.47
Maximilian Mittelstädt,Germany,308.7,5.0,1.46
Martín Zubimendi Ibáñez,Spain,128.0,2.0,1.41
İlkay Gündoğan,Germany,387.5,6.0,1.39
Kai Havertz,Germany,388.1,6.0,1.39
Mikel Oyarzabal Ugarte,Spain,197.4,3.0,1.37
Dodi Lukebakio,Belgium,66.0,1.0,1.36
Aymeric Laporte,Spain,528.7,8.0,1.36
Žan Celar,Slovenia,66.2,1.0,1.36
Toni Kroos,Germany,470.0,7.0,1.34
Fabián Ruiz Peña,Spain,544.0,8.0,1.32
Antonio Rüdiger,Germany,482.5,7.0,1.31
Manuel Neuer,Germany,482.5,7.0,1.31
Joshua Kimmich,Germany,482.5,7.0,1.31
Marc Cucurella Saseta,Spain,552.1,8.0,1.30
Luka Sučić,Croatia,139.3,2.0,1.29
Merih Demiral,Turkey,211.0,3.0,1.28
Daniel Olmo Carvajal,Spain,422.9,6.0,1.28
Jamal Musiala,Germany,424.9,6.0,1.27
İsmail Yüksek,Turkey,150.1,2.0,1.20
Breel-Donald Embolo,Switzerland,301.2,4.0,1.20
Jonathan Tah,Germany,319.7,4.0,1.13
Robert Andrich,Germany,324.8,4.0,1.11
Nélson Cabral Semedo,Portugal,83.4,1.0,1.08
David Raum,Germany,166.8,2.0,1.08
David Raya Martin,Spain,83.7,1.0,1.08
Mikel Merino Zazón,Spain,167.6,2.0,1.07
Jeremie Frimpong,Netherlands,87.4,1.0,1.03
Bruno Miguel Borges Fernandes,Portugal,371.2,4.0,0.97
Donyell Malen,Netherlands,188.6,2.0,0.95
Emre Can,Germany,96.8,1.0,0.93
Endre Botka,Hungary,99.6,1.0,0.90
Jon Gorenc Stankovič,Slovenia,99.7,1.0,0.90
Dan Ndoye,Switzerland,409.4,4.0,0.88
Kléper Laveran Lima Ferreira,Portugal,409.6,4.0,0.88
Rúben Santos Gato Alves Dias,Portugal,415.5,4.0,0.87
Bernardo Mota Veiga de Carvalho e Silva,Portugal,415.5,4.0,0.87
Bradley Barcola,France,104.9,1.0,0.86
Denzel Dumfries,Netherlands,445.6,4.0,0.81
Mario Pašalić,Croatia,115.1,1.0,0.78
João Pedro Cavaco Cancelo,Portugal,348.1,3.0,0.78
Orkun Kökçü,Turkey,234.6,2.0,0.77
Roman Yaremchuk,Ukraine,118.4,1.0,0.76
Daniel Vivian Moreno,Spain,119.6,1.0,0.75
Vitor Machado Ferreira,Portugal,360.1,3.0,0.75
Michel Aebischer,Switzerland,482.3,4.0,0.75
Fabian Lukas Schär,Switzerland,482.5,4.0,0.75
Ricardo Iván Rodríguez Araya,Switzerland,482.5,4.0,0.75
Granit Xhaka,Switzerland,482.5,4.0,0.75
Manuel Obafemi Akanji,Switzerland,482.5,4.0,0.75
Yann Sommer,Switzerland,482.5,4.0,0.75
Fehmi Mert Günok,Turkey,371.8,3.0,0.73
Trent Alexander-Arnold,England,131.6,1.0,0.68
Lukáš Haraslín,Slovakia,266.0,2.0,0.68
Nuno Mendes,Portugal,412.3,3.0,0.65
Florian Wirtz,Germany,281.5,2.0,0.64
Youri Tielemans,Belgium,152.1,1.0,0.59
Remo Freuler,Switzerland,459.1,3.0,0.59
Ruben Vargas,Switzerland,307.5,2.0,0.59
Xavi Simons,Netherlands,463.2,3.0,0.58
Ferrán Torres García,Spain,156.3,1.0,0.58
Ondrej Duda,Slovakia,325.6,2.0,0.55
Maximilian Wöber,Austria,168.2,1.0,0.54
Mert Müldür,Turkey,346.5,2.0,0.52
Luke Shaw,England,177.3,1.0,0.51
Volodymyr Brazhko,Ukraine,178.6,1.0,0.50
Bart Verbruggen,Netherlands,536.8,3.0,0.50
Virgil van Dijk,Netherlands,536.8,3.0,0.50
Stefan de Vrij,Netherlands,536.8,3.0,0.50
Adrien Rabiot,France,358.1,2.0,0.50
Anatolii Trubin,Ukraine,180.4,1.0,0.50
Florian Grillitsch,Austria,185.9,1.0,0.48
Davide Frattesi,Italy,194.4,1.0,0.46
Oleksandr Tymchyk,Ukraine,195.4,1.0,0.46
Joey Veerman,Netherlands,207.1,1.0,0.43
Philipp Lienhart,Austria,211.6,1.0,0.43
Memphis Depay,Netherlands,462.0,2.0,0.39
Cristiano Ronaldo dos Santos Aveiro,Portugal,480.6,2.0,0.37
Tijjani Reijnders,Netherlands,487.7,2.0,0.37
Diogo Meireles Costa,Portugal,496.6,2.0,0.36
N'Golo Kanté,France,497.0,2.0,0.36
Marcus Thuram,France,259.6,1.0,0.35
Jan Vertonghen,Belgium,265.7,1.0,0.34
Nicușor Silviu Bancu,Romania,266.5,1.0,0.34
Marko Arnautović,Austria,272.4,1.0,0.33
Marc Guehi,England,547.6,2.0,0.33
Rafael Alexandre Conceição Leão,Portugal,288.5,1.0,0.31
João Maria Lobo Alves Palhinha Gonçalves,Portugal,298.1,1.0,0.30
Silvan Widmer,Switzerland,299.0,1.0,0.30
Marius Mihai Marin,Romania,304.5,1.0,0.30
Bukayo Saka,England,621.7,2.0,0.29
Jude Bellingham,England,661.9,2.0,0.27
Kyle Walker,England,665.3,2.0,0.27
John Stones,England,665.3,2.0,0.27
Jordan Pickford,England,665.3,2.0,0.27
Declan Rice,England,665.3,2.0,0.27
Ivan Schranz,Slovakia,335.0,1.0,0.27
Kenan Yildiz,Turkey,344.8,1.0,0.26
Arda Güler,Turkey,345.3,1.0,0.26
Marcel Sabitzer,Austria,350.7,1.0,0.26
Patrick Pentz,Austria,350.7,1.0,0.26
Nicolas Seiwald,Austria,350.7,1.0,0.26
Stefan Posch,Austria,350.7,1.0,0.26
Juraj Kucka,Slovakia,357.2,1.0,0.25
Benjamin Šeško,Slovenia,361.2,1.0,0.25
Antoine Griezmann,France,378.1,1.0,0.24
Kylian Mbappé Lottin,France,460.9,1.0,0.20
Jerdy Schouten,Netherlands,506.3,1.0,0.18
Cody Mathès Gakpo,Netherlands,521.2,1.0,0.17
William Saliba,France,553.2,1.0,0.16
Dayotchanculle Upamecano,France,553.2,1.0,0.16
Jules Koundé,France,553.2,1.0,0.16
Theo Bernard François Hernández,France,553.2,1.0,0.16
Mike Maignan,France,553.2,1.0,0.16
Harry Kane,England,598.2,1.0,0.15
Ayoze Pérez Gutiérrez,Spain,16.6,0.0,0.00
Kevin De Bruyne,Belgium,359.5,0.0,0.00
Benjamin Henrichs,Germany,6.9,0.0,0.00
Kingsley Coman,France,3.8,0.0,0.00
Renato Steffen,Switzerland,0.0,0.0,0.00
Maksym Talovierov,Ukraine,0.0,0.0,0.00
Koen Casteels,Belgium,359.5,0.0,0.00
Luka Lochoshvili,Georgia,174.9,0.0,0.00
Chris Führich,Germany,15.6,0.0,0.00
Steven Bergwijn,Netherlands,90.0,0.0,0.00
Barış Alper Yılmaz,Turkey,459.7,0.0,0.00
Semih Kılıçsoy,Turkey,7.0,0.0,0.00
Martin Ádám,Hungary,51.7,0.0,0.00
Giorgi Chakvetadze,Georgia,242.1,0.0,0.00
Vanja Drkušić,Slovenia,395.7,0.0,0.00
Michael Gregoritsch,Austria,115.6,0.0,0.00
Gonçalo Bernardo Inácio,Portugal,111.0,0.0,0.00
Andraž Šporar,Slovenia,348.5,0.0,0.00
Benjamin Verbič,Slovenia,77.4,0.0,0.00
David Jurásek,Czech Republic,161.2,0.0,0.00
Serhii Sydorchuk,Ukraine,6.4,0.0,0.00
Dávid Ďuriš,Slovakia,28.2,0.0,0.00
Petar Stojanović,Slovenia,318.3,0.0,0.00
Zeno Debast,Belgium,106.7,0.0,0.00
Dániel Gazdag,Hungary,0.4,0.0,0.00
Alejandro Baena Rodríguez,Spain,22.9,0.0,0.00
Kasper Dolberg,Denmark,40.5,0.0,0.00
Deniz Undav,Germany,3.7,0.0,0.00
Ruslan Malinovskiy,Ukraine,30.2,0.0,0.00
Leandro Trossard,Belgium,168.7,0.0,0.00
Luka Jović,Serbia,98.9,0.0,0.00
Callum Styles,Hungary,60.6,0.0,0.00
Vladyslav Vanat,Ukraine,19.8,0.0,0.00
Krzysztof Piątek,Poland,59.0,0.0,0.00
Mohamed Zeki Amdouni,Switzerland,56.1,0.0,0.00
Romelu Lukaku Menama,Belgium,359.5,0.0,0.00
Amadou Onana,Belgium,359.5,0.0,0.00
Jure Balkovec,Slovenia,116.9,0.0,0.00
Adam Gnezda Čerin,Slovenia,395.7,0.0,0.00
Ľubomír Tupta,Slovakia,0.0,0.0,0.00
Matěj Jurásek,Czech Republic,50.1,0.0,0.00
Jan Oblak,Slovenia,395.7,0.0,0.00
Nathan Aké,Netherlands,463.8,0.0,0.00
Aurélien Djani Tchouaméni,France,457.8,0.0,0.00
Łukasz Skorupski,Poland,85.2,0.0,0.00
Okay Yokuşlu,Turkey,58.4,0.0,0.00
Žan Karničnik,Slovenia,395.7,0.0,0.00
Yusuf Yazıcı,Turkey,61.2,0.0,0.00
Michael Ijemuan Folorunsho,Italy,0.0,0.0,0.00
Attila Szalai,Hungary,104.6,0.0,0.00
Vitalii Mykolenko,Ukraine,57.4,0.0,0.00
Ivan Perišić,Croatia,141.0,0.0,0.00
Ousmane Dembélé,France,359.8,0.0,0.00
Oleksandr Svatok,Ukraine,80.1,0.0,0.00
Qazim Laçi,Albania,164.9,0.0,0.00
Mateo Retegui,Italy,165.3,0.0,0.00
Brian Brobbey,Netherlands,0.0,0.0,0.00
Lukáš Provod,Czech Republic,234.1,0.0,0.00
Christoph Baumgartner,Austria,281.8,0.0,0.00
Yussuf Yurary Poulsen,Denmark,45.2,0.0,0.00
Denis Lemi Zakaria Lako Lado,Switzerland,20.0,0.0,0.00
Jarrod Bowen,England,24.1,0.0,0.00
Steven Zuber,Switzerland,75.2,0.0,0.00
Morten Hjulmand,Denmark,247.2,0.0,0.00
Thomas Müller,Germany,64.4,0.0,0.00
Ernest Muçi,Albania,8.2,0.0,0.00
Anthony Gordon,England,1.1,0.0,0.00
Xherdan Shaqiri,Switzerland,67.8,0.0,0.00
Medon Berisha,Albania,13.9,0.0,0.00
George Alexandru Puşcaş,Romania,36.6,0.0,0.00
Denis Mihai Drăguş,Romania,292.4,0.0,0.00
Mijat Gaćinović,Serbia,50.0,0.0,0.00
Ivan Ilić,Serbia,202.3,0.0,0.00
Dávid Hancko,Slovakia,360.3,0.0,0.00
Fermin Lopez Marin,Spain,22.4,0.0,0.00
Joshua Zirkzee,Netherlands,8.6,0.0,0.00
Timi Elšnik,Slovenia,360.6,0.0,0.00
Giorgi Gvelesiani,Georgia,161.0,0.0,0.00
Bartosz Bereszyński,Poland,0.8,0.0,0.00
Kevin Danso,Austria,201.1,0.0,0.00
Erik Janža,Slovenia,278.9,0.0,0.00
Pavel Šulc,Czech Republic,78.9,0.0,0.00
Gernot Trauner,Austria,90.7,0.0,0.00
Romano Schmid,Austria,142.6,0.0,0.00
Randal Kolo Muani,France,194.1,0.0,0.00
Mattia Zaccagni,Italy,93.5,0.0,0.00
İrfan Can Kahveci,Turkey,0.0,0.0,0.00
Andriy Yarmolenko,Ukraine,99.3,0.0,0.00
Wout Faes,Belgium,359.5,0.0,0.00
Jaka Bijol,Slovenia,395.7,0.0,0.00
Rúben Diogo Da Silva Neves,Portugal,105.9,0.0,0.00
Andreas Weimann,Austria,0.0,0.0,0.00
Youssouf Fofana,France,33.3,0.0,0.00
Conor Gallagher,England,94.4,0.0,0.00
Pedro Lomba Neto,Portugal,120.4,0.0,0.00
Giorgi Kvilitaia,Georgia,0.0,0.0,0.00
Ferdi Erenay Kadıoğlu,Turkey,459.7,0.0,0.00
Tomáš Chorý,Czech Republic,43.0,0.0,0.00
Jacob Bruun Larsen,Denmark,6.3,0.0,0.00
Jonas Older Wind,Denmark,190.6,0.0,0.00
Leo Sauer,Slovakia,5.4,0.0,0.00
Jasmin Kurtič,Slovenia,0.0,0.0,0.00
Riccardo Calafiori,Italy,282.6,0.0,0.00
Adrián Rus,Romania,17.3,0.0,0.00
Jan Kuchta,Czech Republic,102.7,0.0,0.00
Taras Wiktorowicz Romanczuk,Poland,54.6,0.0,0.00
Lorenzo Pellegrini,Italy,219.9,0.0,0.00
Filip Mladenović,Serbia,101.6,0.0,0.00
Timothy Castagne,Belgium,359.5,0.0,0.00
Kwadwo Duah,Switzerland,107.9,0.0,0.00
Jorge Luiz Frello Filho,Italy,217.4,0.0,0.00
Srđan Mijailović,Serbia,73.0,0.0,0.00
Mikkel Damsgaard,Denmark,25.7,0.0,0.00
Salih Özcan,Turkey,152.6,0.0,0.00
Patrik Schick,Czech Republic,127.5,0.0,0.00
Arthur Theate,Belgium,252.8,0.0,0.00
Kacper Urbanski,Poland,139.5,0.0,0.00
Gonçalo Matias Ramos,Portugal,16.0,0.0,0.00
Ikoma Loïs Openda,Belgium,73.3,0.0,0.00
Deian Cristian Sorescu,Romania,33.6,0.0,0.00
Matheus Luiz Nunes,Portugal,6.3,0.0,0.00
Saba Lobzhanidze,Georgia,6.8,0.0,0.00
Charles De Ketelaere,Belgium,0.0,0.0,0.00
Victor Bernth Kristansen,Denmark,150.6,0.0,0.00
Christian Nørgaard,Denmark,28.9,0.0,0.00
Leopold Querfeld,Austria,29.7,0.0,0.00
David Strelec,Slovakia,186.4,0.0,0.00
Matěj Kovář,Czech Republic,43.2,0.0,0.00
Josip Iličić,Slovenia,27.0,0.0,0.00
Johan Bakayoko,Belgium,50.1,0.0,0.00
Phil Foden,England,618.9,-1.0,-0.15
Kieran Trippier,England,438.6,-1.0,-0.21
Martin Dúbravka,Slovakia,384.7,-1.0,-0.23
Stanislav Lobotka,Slovakia,384.7,-1.0,-0.23
Milan Škriniar,Slovakia,384.7,-1.0,-0.23
Denis Vavro,Slovakia,384.7,-1.0,-0.23
Peter Pekarík,Slovakia,384.5,-1.0,-0.23
Abdülkerim Bardakcı,Turkey,362.1,-1.0,-0.25
Kaan Ayhan,Turkey,359.8,-1.0,-0.25
Nicolae Claudiu Stanciu,Romania,354.2,-1.0,-0.25
Samet Akaydin,Turkey,350.5,-1.0,-0.26
Jeremy Doku,Belgium,319.1,-1.0,-0.28
Jan Mlakar,Slovenia,295.7,-1.0,-0.30
Federico Chiesa,Italy,271.5,-1.0,-0.33
Konrad Laimer,Austria,269.1,-1.0,-0.33
Strahinja Pavlović,Serbia,267.6,-1.0,-0.34
Milos Veljkovic,Serbia,267.6,-1.0,-0.34
Predrag Rajković,Serbia,267.6,-1.0,-0.34
Nikola Milenković,Serbia,267.6,-1.0,-0.34
Gianluca Scamacca,Italy,259.6,-1.0,-0.35
Andrej Kramarić,Croatia,244.2,-1.0,-0.37
Aleksandar Mitrović,Serbia,242.3,-1.0,-0.37
Federico Dimarco,Italy,232.6,-1.0,-0.39
Yannick Ferreira Carrasco,Belgium,215.7,-1.0,-0.42
Jasir Asani,Albania,211.7,-1.0,-0.43
Saša Lukić,Serbia,211.0,-1.0,-0.43
Róbert Boženík,Slovakia,198.3,-1.0,-0.45
Billy Gilmour,Scotland,187.5,-1.0,-0.48
Giovanni Di Lorenzo,Italy,373.9,-2.0,-0.48
Alessandro Bastoni,Italy,373.9,-2.0,-0.48
Gianluigi Donnarumma,Italy,373.9,-2.0,-0.48
Elseid Hysaj,Albania,185.9,-1.0,-0.48
Kobbie Mainoo,England,367.5,-2.0,-0.49
Andrei Burcă Andonie,Romania,359.2,-2.0,-0.50
Andrei Florin Ratiu,Romania,359.2,-2.0,-0.50
Florin Constantin Niţă,Romania,359.2,-2.0,-0.50
Radu Drăgușin,Romania,359.2,-2.0,-0.50
Anzor Mekvabishvili,Georgia,176.7,-1.0,-0.51
Răzvan Gabriel Marin,Romania,353.2,-2.0,-0.51
Joachim Andersen,Denmark,350.3,-2.0,-0.51
Jannik Vestergaard,Denmark,350.3,-2.0,-0.51
Kasper Schmeichel,Denmark,350.3,-2.0,-0.51
Christian Dannemann Eriksen,Denmark,350.2,-2.0,-0.51
Nicolò Barella,Italy,346.0,-2.0,-0.52
Andreas Christensen,Denmark,344.0,-2.0,-0.52
Georges Mikautadze,Georgia,343.6,-2.0,-0.52
Solomon Kverkvelia,Georgia,170.9,-1.0,-0.53
Francisco Fernandes Conceição,Portugal,169.9,-1.0,-0.53
Pierre-Emile Højbjerg,Denmark,339.7,-2.0,-0.53
Ádám Nagy,Hungary,168.8,-1.0,-0.53
Dušan Vlahović,Serbia,168.8,-1.0,-0.53
Eduardo Camavinga,France,167.1,-1.0,-0.54
Dušan Tadić,Serbia,148.8,-1.0,-0.60
Adam Buksa,Poland,145.8,-1.0,-0.62
Scott McKenna,Scotland,144.6,-1.0,-0.62
Rasmus Winther Højlund,Denmark,287.5,-2.0,-0.63
Tomáš Holeš,Czech Republic,277.8,-2.0,-0.65
Vladimír Coufal,Czech Republic,277.8,-2.0,-0.65
Robin Hranáč,Czech Republic,277.8,-2.0,-0.65
Ladislav Krejčí,Czech Republic,277.8,-2.0,-0.65
Tomáš Souček,Czech Republic,277.8,-2.0,-0.65
Alexander Hartmann Bah,Denmark,276.7,-2.0,-0.65
Joakim Mæhle,Denmark,273.2,-2.0,-0.66
Arlind Afrim Ajeti,Albania,269.6,-2.0,-0.67
Thomas Strakosha,Albania,269.6,-2.0,-0.67
Berat Djimsiti,Albania,269.6,-2.0,-0.67
Mario Mitaj,Albania,269.6,-2.0,-0.67
Kristjan Asllani,Albania,269.6,-2.0,-0.67
Dennis Man,Romania,268.6,-2.0,-0.67
Mykola Matvienko,Ukraine,266.6,-2.0,-0.68
Illia Zabarnyi,Ukraine,266.6,-2.0,-0.68
Georgiy Sudakov,Ukraine,262.7,-2.0,-0.69
Orel Mangala,Belgium,127.2,-1.0,-0.71
Nedim Bajrami,Albania,250.3,-2.0,-0.72
Piotr Zieliński,Poland,248.6,-2.0,-0.72
Andrija Živković,Serbia,242.0,-2.0,-0.74
Hakan Çalhanoğlu,Turkey,360.6,-3.0,-0.75
Luka Modrić,Croatia,239.0,-2.0,-0.75
Grant Campbell Hanley,Scotland,236.8,-2.0,-0.76
Jindřich Staněk,Czech Republic,234.7,-2.0,-0.77
Sergej Milinković-Savić,Serbia,117.1,-1.0,-0.77
Giorgi Kochorashvili,Georgia,347.6,-3.0,-0.78
Otar Kakabadze,Georgia,347.6,-3.0,-0.78
Lasha Dvali,Georgia,347.6,-3.0,-0.78
Guram Kashia,Georgia,347.6,-3.0,-0.78
Giorgi Mamardashvili,Georgia,347.6,-3.0,-0.78
Muhammed Kerem Aktürkoğlu,Turkey,115.0,-1.0,-0.78
Mateo Kovačić,Croatia,229.2,-2.0,-0.79
Khvicha Kvaratskhelia,Georgia,340.8,-3.0,-0.79
Sebastian Szymański,Poland,112.5,-1.0,-0.80
Mykola Shaparenko,Ukraine,223.2,-2.0,-0.81
Oleksandr Zinchenko,Ukraine,209.2,-2.0,-0.86
Bendegúz Bolla,Hungary,208.1,-2.0,-0.86
Josip Juranović,Croatia,102.6,-1.0,-0.88
Nicolò Fagioli,Italy,102.3,-1.0,-0.88
Armando Broja,Albania,101.1,-1.0,-0.89
Philipp Mwene,Austria,195.1,-2.0,-0.92
Lutsharel Geertruida,Netherlands,97.2,-1.0,-0.93
Willi Orban,Hungary,279.0,-3.0,-0.97
Péter Gulácsi,Hungary,279.0,-3.0,-0.97
Dominik Szoboszlai,Hungary,279.0,-3.0,-0.97
András Schäfer,Hungary,279.0,-3.0,-0.97
Roland Sallai,Hungary,279.0,-3.0,-0.97
David Doudera,Czech Republic,92.7,-1.0,-0.97
Dominik Livaković,Croatia,277.0,-3.0,-0.97
Joško Gvardiol,Croatia,277.0,-3.0,-0.97
Josip Šutalo,Croatia,277.0,-3.0,-0.97
Ianis Hagi,Romania,183.3,-2.0,-0.98
Nemanja Gudelj,Serbia,90.0,-1.0,-1.00
Ondřej Lingr,Czech Republic,88.8,-1.0,-1.01
Giacomo Raspadori,Italy,87.0,-1.0,-1.03
Ylber Ramadani,Albania,259.4,-3.0,-1.04
Jakub Piotr Kiwior,Poland,257.9,-3.0,-1.05
Jan Bednarek,Poland,257.9,-3.0,-1.05
Przemysław Frankowski,Poland,257.9,-3.0,-1.05
Bartosz Salamon,Poland,85.8,-1.0,-1.05
Paweł Dawidowicz,Poland,171.4,-2.0,-1.05
Mykhailo Mudryk,Ukraine,170.6,-2.0,-1.05
Iván Balliu Campeny,Albania,83.7,-1.0,-1.08
Ezri Konsa Ngoyo,England,82.3,-1.0,-1.09
Bruno Petković,Croatia,82.1,-1.0,-1.10
Andrea Cambiaso,Italy,81.0,-1.0,-1.11
Artem Dovbyk,Ukraine,241.7,-3.0,-1.12
Milos Kerkez,Hungary,239.2,-3.0,-1.13
Rey Manaj,Albania,158.2,-2.0,-1.14
John McGinn,Scotland,232.0,-3.0,-1.16
Che Adams,Scotland,210.6,-3.0,-1.28
Andrew Robertson,Scotland,270.5,-4.0,-1.33
Ante Budimir,Croatia,133.7,-2.0,-1.35
Anthony Ralston,Scotland,265.2,-4.0,-1.36
Callum McGregor,Scotland,255.7,-4.0,-1.41
Barnabás Varga,Hungary,252.9,-4.0,-1.42
Josip Stanišić,Croatia,182.6,-3.0,-1.48
Marin Pongracic,Croatia,182.6,-3.0,-1.48
Nicola Zalewski,Poland,240.2,-4.0,-1.50
Márton Dárdai,Hungary,174.4,-3.0,-1.55
Heorhii Tsitaishvili,Georgia,172.8,-3.0,-1.56
Wojciech Szczęsny,Poland,172.7,-3.0,-1.56
Marcelo Brozović,Croatia,227.6,-4.0,-1.58
Mehmet Zeki Çelik,Turkey,113.3,-2.0,-1.59
Scott McTominay,Scotland,281.8,-5.0,-1.60
Angus Gunn,Scotland,281.8,-5.0,-1.60
Jack Hendry,Scotland,281.8,-5.0,-1.60
Robert Lewandowski,Poland,112.1,-2.0,-1.61
Jakub Moder,Poland,167.9,-3.0,-1.61
Andreas Skov Olsen,Denmark,111.2,-2.0,-1.62
Matteo Darmian,Italy,164.4,-3.0,-1.64
Adam Hložek,Czech Republic,109.4,-2.0,-1.65
Václav Černý,Czech Republic,54.4,-1.0,-1.65
Jakub Piotrowski,Poland,54.3,-1.0,-1.66
Mojmír Chytil,Czech Republic,107.5,-2.0,-1.67
Bartosz Slisz,Poland,106.9,-2.0,-1.68
Taulant Sulejmanov,Albania,99.1,-2.0,-1.82
José Diogo Dalot Teixeira,Portugal,143.9,-3.0,-1.88
João Félix Sequeira,Portugal,94.1,-2.0,-1.91
Bryan Cristante,Italy,137.8,-3.0,-1.96
Gianluca Mancini,Italy,91.3,-2.0,-1.97
Stephan El Shaarawy,Italy,45.0,-1.0,-2.00
Attila Fiola,Hungary,179.5,-4.0,-2.01
Olivier Giroud,France,44.7,-1.0,-2.01
Filip Kostić,Serbia,43.0,-1.0,-2.09
Thomas Delaney,Denmark,84.7,-2.0,-2.12
Danilo Luís Hélio Pereira,Portugal,81.1,-2.0,-2.22
Antonín Barák,Czech Republic,39.9,-1.0,-2.26
Tomáš Suslov,Slovakia,118.7,-3.0,-2.28
Karol Świderski,Poland,77.2,-2.0,-2.33
Vasile Mogoș,Romania,37.8,-1.0,-2.38
Valentin Mihai Mihăilă,Romania,113.1,-3.0,-2.39
João Neves,Portugal,74.8,-2.0,-2.41
António João Pereira Albuquerque Tavares Silva,Portugal,70.9,-2.0,-2.54
Lawrence Shankland,Scotland,35.3,-1.0,-2.55
Zuriko Davitashvili,Georgia,104.9,-3.0,-2.57
Waldemar Anton,Germany,34.9,-1.0,-2.58
Kieran Tierney,Scotland,137.2,-4.0,-2.62
Lovro Majer,Croatia,147.6,-5.0,-3.05
Altay Bayındır,Turkey,87.9,-3.0,-3.07
Andriy Lunin,Ukraine,86.2,-3.0,-3.13
Bogdan Racovițan,Romania,54.9,-2.0,-3.28
Luka Ivanušec,Croatia,27.4,-1.0,-3.28
Taras Stepanenko,Ukraine,81.6,-3.0,-3.31
Kenneth McLean,Scotland,53.6,-2.0,-3.36
László Kleinheisler,Hungary,49.7,-2.0,-3.62
Adam Obert,Slovakia,24.4,-1.0,-3.69
Stuart Armstrong,Scotland,23.8,-1.0,-3.79
Yukhym Konoplya,Ukraine,71.3,-3.0,-3.79
Yunus Akgün,Turkey,69.0,-3.0,-3.91
Klaus Gjasula,Albania,22.9,-1.0,-3.94
Ádám Lang,Hungary,45.0,-2.0,-4.00
Viktor Tsygankov,Ukraine,62.5,-3.0,-4.32
Petr Ševčík,Czech Republic,20.7,-1.0,-4.34
Ryan Porteous,Scotland,41.1,-2.0,-4.38
László Bénes,Slovakia,59.1,-3.0,-4.57
Ryan Christie,Scotland,97.9,-5.0,-4.60
Žan Vipotnik,Slovenia,19.5,-1.0,-4.63
Denis Alibec,Romania,30.3,-2.0,-5.94
Matúš Bero,Slovakia,27.5,-2.0,-6.55
Darius Dumitru Olaru,Romania,26.9,-2.0,-6.68
Sandro Altunashvili,Georgia,49.8,-4.0,-7.23
Lewis Morgan,Scotland,11.3,-1.0,-7.94
Borna Sosa,Croatia,11.2,-1.0,-8.02
Kamil Grosicki,Poland,11.2,-1.0,-8.02
Martin Baturina,Croatia,10.8,-1.0,-8.37
Alexandru Cicâldău,Romania,21.5,-2.0,-8.39
Norbert Gyömbér,Slovakia,16.3,-2.0,-11.03
Budu Zivzivadze,Georgia,15.5,-2.0,-11.63
David Brekalo,Slovenia,4.6,-1.0,-19.57
Nika Kvekveskiri,Georgia,4.3,-1.0,-20.93
